"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"CTNND1",0.008157379,0.003072734,0.008081058,0.004993723,0.011715272,0.004742849,0.004990489,0.004403356,0.008951148,0.003075282,0.004784917,0.018924697
"CTNS",0.005183822,0.001743769,0.006174787,0.001173848,0.006289704,0.001197883,0.002926353,0.002850391,0.005193765,0.000972487,0.003008968,0.009054478
"CUBN",0.000391037,0.00062414,0.002549769,0.000166984,0.001520699,0.000120597,0.00029686,0.002166131,0.001447194,0,0.000258423,2.17e-05
"CX3CL1",0.001163434,0.001261214,0.00371707,0.000155797,0.000980344,0.001692783,0.002620123,0.005419601,0.000801984,0.00021991,0.002348732,3.04e-05
"CX3CR1",2.19e-05,6.02e-05,0.000186444,8.8e-05,3.29e-05,9.32e-05,5.63e-05,5.41e-05,0.000116159,0.000105286,0.00025895,2.56e-05
"CXADR",0.000642513,0.004245663,0.001623918,0.001187031,0.000998791,0.002048787,0.003481408,0.008665812,0.001648274,0.003049572,0.00104669,0.001453841
"CXCL16",0.030802774,0.03517659,0.032998812,0.031575858,0.029808043,0.026214453,0.050979278,0.032457946,0.00674907,0.027899246,0.027425239,0.019783125
"CXCR1",0,0,0,0,0,0,0,0,0,0,0,0.000109354
"CXCR2",2.65e-05,1.52e-05,4.73e-06,0,3.32e-06,4.73e-05,9.09e-05,0,1.95e-05,7.61e-06,0.000113495,0.00033166
"CXCR3",7.61e-06,1.06e-05,0.002397326,1.97e-05,0.000560533,2.57e-06,0,5.3e-05,3.06e-05,0,1.54e-05,5.07e-06
"CXCR4",0.000729602,0.00090123,0.001745543,0.000746977,0.000364801,0.000905096,0.142510713,0.000413064,0.000878797,0.00240328,0.003814334,0.001960806
"CXCR5",4.51e-06,2.05e-06,1.38e-05,1.77e-06,7.52e-06,8.61e-06,8.83e-07,8.21e-06,1.15e-05,1.23e-05,6.88e-06,1.51e-06
"CXCR6",0,0,3.39e-06,1.19e-05,1.34e-05,0,0.000103267,6.3e-06,1.99e-05,0,1.36e-05,0
"CYBA",0.0104682,0.004000896,6e-06,0.002835694,0.010851648,0.0059622,0.007577186,0.002693214,0.006124416,3.89e-06,0.004099386,0
