,tissueType,cellName,CellMarker,shortName,type
3516,Placenta,Extravillous trophoblasts,AC006262.5,,other
3517,Placenta,Extravillous trophoblasts,DAW1,,other
3518,Placenta,Extravillous trophoblasts,NOG,,other
3519,Placenta,Extravillous trophoblasts,TAC3,,other
3520,Placenta,Extravillous trophoblasts,RP11-420L9.4,,other
3521,Placenta,Lymphoid cells,IGJ,,other
3522,Placenta,Lymphoid cells,IGHM,,other
3523,Placenta,Lymphoid cells,KLRC3,,other
3524,Placenta,Lymphoid cells,GZMH,,other
3525,Placenta,Lymphoid cells,PTGDR,,other
3526,Placenta,Lymphoid cells,IGHGP,,other
3527,Placenta,Lymphoid cells,IKZF3,,other
3528,Placenta,Lymphoid cells,IFNG-AS1,,other
3529,Placenta,Lymphoid cells,TIGIT,,other
3530,Placenta,Lymphoid cells,KLRC2,,other
3531,Placenta,Lymphoid cells,LCK,,other
3532,Placenta,Lymphoid cells,ANKRD36BP2,,other
3533,Placenta,Lymphoid cells,TNFRSF18,,other
3534,Placenta,Lymphoid cells,IGHG3,,other
3535,Placenta,Lymphoid cells,LINC00861,,other
3536,Placenta,Trophoblast giant cells,CCK,,other
3537,Placenta,Trophoblast giant cells,CTA-833B7.2,,other
3538,Placenta,Trophoblast giant cells,PSG1,,other
3539,Placenta,Trophoblast giant cells,CGB,,other
3540,Placenta,Trophoblast giant cells,CSH2,,other
3541,Placenta,Trophoblast giant cells,PSG6,,other
3542,Placenta,Trophoblast giant cells,KISS1,,other
3543,Placenta,Trophoblast giant cells,INHBA,,other
3544,Placenta,Trophoblast giant cells,GH2,,other
3545,Placenta,Trophoblast giant cells,PSG9,,other
3546,Placenta,Trophoblast giant cells,CRH,,other
3547,Placenta,Trophoblast giant cells,PSG8,,other
3548,Placenta,Trophoblast giant cells,RP11-76E12.1,,other
3549,Placenta,Trophoblast giant cells,PSG4,,other
3550,Placenta,Trophoblast giant cells,TREML3P,,other
3551,Placenta,Smooth muscle cells,RP11-162G9.1,,other
3552,Placenta,Smooth muscle cells,FAM162B,,other
3553,Placenta,Smooth muscle cells,WNT3A,,other
3554,Placenta,Smooth muscle cells,AFF2,,other
3555,Placenta,Smooth muscle cells,CDH19,,other
3556,Placenta,Smooth muscle cells,SCN11A,,other
3557,Placenta,Smooth muscle cells,GPR20,,other
3558,Placenta,Smooth muscle cells,COX4I2,,other
3559,Placenta,Smooth muscle cells,AGTR1,,other
3560,Placenta,Smooth muscle cells,ADAMTS20,,other
3561,Placenta,Smooth muscle cells,RP11-123O22.1,,other
3562,Placenta,Smooth muscle cells,HIGD1B,,other
3563,Placenta,Smooth muscle cells,AC020571.3,,other
3564,Placenta,Smooth muscle cells,COLEC10,,other
3565,Placenta,Smooth muscle cells,KCNK17,,other
3566,Placenta,IGFBP1_DKK1 positive cells,RP3-404K8.2,,other
3567,Placenta,IGFBP1_DKK1 positive cells,RP11-486P11.1,,other
3568,Placenta,IGFBP1_DKK1 positive cells,FOXL2,,other
3569,Placenta,IGFBP1_DKK1 positive cells,WT1,,other
3570,Placenta,IGFBP1_DKK1 positive cells,RP11-171A24.3,,other
3571,Placenta,IGFBP1_DKK1 positive cells,SCARA5,,other
3572,Placenta,IGFBP1_DKK1 positive cells,LRRN4CL,,other
3573,Placenta,IGFBP1_DKK1 positive cells,S100A3,,other
3574,Placenta,IGFBP1_DKK1 positive cells,WT1-AS,,other
3575,Placenta,IGFBP1_DKK1 positive cells,PRL,,other
3576,Placenta,IGFBP1_DKK1 positive cells,WNT4,,other
3577,Placenta,IGFBP1_DKK1 positive cells,AC012065.7,,other
3578,Placenta,IGFBP1_DKK1 positive cells,APOD,,other
3579,Placenta,IGFBP1_DKK1 positive cells,BRINP2,,other
3580,Placenta,IGFBP1_DKK1 positive cells,RORB,,other
3581,Placenta,Stromal cells,AP006285.6,,other
3582,Placenta,Stromal cells,AC002451.1,,other
3583,Placenta,Stromal cells,RP11-99L13.2,,other
3584,Placenta,Stromal cells,RP1-79C4.4,,other
3585,Placenta,Stromal cells,MMP23B,,other
3586,Placenta,Stromal cells,RP11-248N22.2,,other
3587,Placenta,Stromal cells,LA16c-380H5.4,,other
3588,Placenta,Stromal cells,MIR218-1,,other
3589,Placenta,Stromal cells,C8orf87,,other
3590,Placenta,Stromal cells,SNORD113,,other
3591,Placenta,Stromal cells,RP11-74M11.2,,other
3592,Placenta,Stromal cells,HSD3BP2,,other
3593,Placenta,Stromal cells,AP001605.4,,other
3594,Placenta,Stromal cells,LINC00314,,other
3595,Placenta,Stromal cells,AC007394.3,,other
3596,Placenta,Vascular endothelial cells,RP11-1028N23.4,,other
3597,Placenta,Vascular endothelial cells,RP11-297H3.3,,other
3598,Placenta,Vascular endothelial cells,AC007743.1,,other
3599,Placenta,Vascular endothelial cells,RP11-327L3.3,,other
3600,Placenta,Vascular endothelial cells,CD34,,other
3601,Placenta,Vascular endothelial cells,ARHGEF15,,other
3602,Placenta,Vascular endothelial cells,CXorf36,,other
3603,Placenta,Vascular endothelial cells,LRRC36,,other
3604,Placenta,Vascular endothelial cells,SOX7,,other
3605,Placenta,Vascular endothelial cells,RP11-328D5.1,,other
3606,Placenta,Vascular endothelial cells,NTS,,other
3607,Placenta,Vascular endothelial cells,CDRT1,,other
3608,Placenta,Vascular endothelial cells,LINC01049,,other
3609,Placenta,Vascular endothelial cells,ROBO4,,other
3610,Placenta,Vascular endothelial cells,HS3ST3A1,,other
3611,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,CTD-2050E21.1,,other
3612,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,POTEKP,,other
3613,Placenta,Syncytiotrophoblasts and villous cytotrophoblasts,RP11-344B2.3,,other
